date,ticker,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
2024-10-22,MTH,108.283,109.08,91.189094,91.189094,0.0,4.8971,9.0,92.01,115.8749,35.0489,3.9207,3.5619,20.848624,179.9236,17.992363,0.576088,109.181457,109.181457,0.8984569999999934,8.984569999999934,False
2024-10-23,MTH,107.339,108.141,91.102822,91.102822,0.0,4.9245,9.0,91.66,115.8749,35.3689,3.9537,3.5592,20.885809,180.2445,18.024453,0.57605,109.127275,109.127275,1.7882749999999987,17.882749999999987,False
2024-10-24,MTH,107.588,108.395,91.090842,91.090842,0.0,4.9268,9.0,92.715,115.8749,35.1439,3.9518,3.5565,21.344978,184.2072,18.420716,0.581575,109.511558,109.511558,1.923558,19.23558,False
2024-10-25,MTH,107.588,108.395,91.090842,91.090842,0.0,4.9268,9.0,92.715,115.8749,35.1439,3.9518,3.5565,21.344978,184.2072,18.420716,0.581575,109.511558,109.511558,1.923558,19.23558,False
2024-10-28,MTH,107.3,108.127,91.003987,91.003987,0.0,4.9599,9.0,92.24,115.8749,35.4844,4.0173,3.5455,21.319969,183.9913,18.399133,0.58108,109.40312,109.40312,2.103120000000004,21.03120000000004,False
2024-10-29,MTH,105.276,106.107,91.003387,91.003387,0.0,4.9528,9.0,90.27,115.8749,36.1831,4.0217,3.5428,20.611942,177.8811,17.788106,0.571904,108.791493,108.791493,3.5154930000000064,35.154930000000064,True
2024-10-30,MTH,105.638,106.474,90.970899,90.970899,0.0,4.9637,9.0,88.77,115.8749,36.0843,4.0468,3.54,19.659864,169.6646,16.966463,0.561616,107.937362,107.937362,2.299362000000002,22.99362000000002,False
2024-10-31,MTH,106.476,107.312,90.861019,90.861019,0.0,4.9937,9.0,90.6,115.8749,35.8741,4.0541,3.5373,20.608138,177.8482,17.784823,0.572759,108.645842,108.645842,2.1698420000000027,21.698420000000027,False
2024-11-01,MTH,106.476,107.312,90.861019,90.861019,0.0,4.9937,9.0,90.6,115.8749,35.8741,4.0541,3.5373,20.608138,177.8482,17.784823,0.572759,108.645842,108.645842,2.1698420000000027,21.698420000000027,False
2024-11-04,MTH,108.625,109.481,90.844992,90.844992,0.0,4.9926,9.0,92.79,115.8749,35.8364,4.0863,3.5264,21.878981,188.8156,18.881561,0.586866,109.726553,109.726553,1.1015530000000098,11.015530000000098,False
2024-11-05,MTH,108.152,109.012,90.929442,90.929442,0.0,4.9711,9.0,95.395,115.8749,36.2361,4.0817,3.5236,23.697118,204.5061,20.450613,0.604483,111.380055,111.380055,3.2280549999999977,32.28054999999998,True
2024-11-06,MTH,107.185,108.05,90.802027,90.802027,0.0,5.0053,9.0,93.325,115.8749,35.1865,4.1694,3.5209,21.822767,188.3305,18.833048,0.588491,109.635075,109.635075,2.4500749999999982,24.500749999999982,False
2024-11-07,MTH,107.185,108.05,90.802027,90.802027,0.0,5.0053,9.0,93.325,115.8749,35.1865,4.1694,3.5209,21.822767,188.3305,18.833048,0.588491,109.635075,109.635075,2.4500749999999982,24.500749999999982,False
2024-11-08,MTH,108.077,108.966,91.040872,91.040872,0.0,4.9487,9.0,95.385,115.8749,35.4512,4.1261,3.5154,23.163046,199.8971,19.989709,0.601451,111.030581,111.030581,2.953581,29.53581,False
2024-11-11,MTH,108.077,108.966,91.040872,91.040872,0.0,4.9487,9.0,95.385,115.8749,35.4512,4.1261,3.5154,23.163046,199.8971,19.989709,0.601451,111.030581,111.030581,2.953581,29.53581,False
2024-11-12,MTH,108.077,108.966,91.040872,91.040872,0.0,4.9487,9.0,95.385,115.8749,35.4512,4.1261,3.5154,23.163046,199.8971,19.989709,0.601451,111.030581,111.030581,2.953581,29.53581,False
2024-11-13,MTH,108.077,108.966,91.040872,91.040872,0.0,4.9487,9.0,95.385,115.8749,35.4512,4.1261,3.5154,23.163046,199.8971,19.989709,0.601451,111.030581,111.030581,2.953581,29.53581,False
2024-11-14,MTH,106.198,106.198,90.700554,90.700554,0.0,5.0671,9.0,90.615,115.8749,35.4004,4.2377,3.499,20.313609,175.3064,17.530644,0.572043,108.231198,108.231198,2.0331979999999987,20.331979999999987,False
2024-11-15,MTH,106.198,106.198,90.700554,90.700554,0.0,5.0671,9.0,90.615,115.8749,35.4004,4.2377,3.499,20.313609,175.3064,17.530644,0.572043,108.231198,108.231198,2.0331979999999987,20.331979999999987,False
2024-11-18,MTH,106.198,106.198,90.700554,90.700554,0.0,5.0671,9.0,90.615,115.8749,35.4004,4.2377,3.499,20.313609,175.3064,17.530644,0.572043,108.231198,108.231198,2.0331979999999987,20.331979999999987,False
2024-11-19,MTH,104.5,104.524,89.988238,90.007683,0.019444,5.0285,8.0,89.125,115.8749,34.4672,4.1958,3.4853,18.7071,161.4423,16.144227,0.554952,106.132465,106.151909,1.6324649999999965,16.324649999999963,False
2024-11-20,MTH,104.209,104.238,89.95983,89.984136,0.024306,5.0486,8.0,89.115,115.8749,35.7646,4.1979,3.4825,19.538743,168.6194,16.861935,0.562117,106.821765,106.846071,2.612764999999996,26.12764999999996,False
2024-11-21,MTH,104.752,104.786,89.868967,89.898134,0.029167,5.0781,8.0,88.84,115.8749,35.8232,4.2318,3.4798,19.436195,167.7344,16.773437,0.561091,106.642404,106.671571,1.890404000000004,18.90404000000004,False
2024-11-22,MTH,104.752,104.786,89.868967,89.898134,0.029167,5.0781,8.0,88.84,115.8749,35.8232,4.2318,3.4798,19.436195,167.7344,16.773437,0.561091,106.642404,106.671571,1.890404000000004,18.90404000000004,False
2024-11-25,MTH,108.784,108.838,90.101272,90.149883,0.048611,5.0311,8.0,97.93,115.8749,35.2219,4.1612,3.4689,24.342008,210.0715,21.007153,0.614311,111.108425,111.157036,2.324424999999991,23.24424999999991,False
2024-11-26,MTH,107.954,108.012,90.077622,90.131095,0.053472,5.0412,8.0,95.81,115.8749,34.9735,4.1618,3.4661,22.889462,197.5361,19.753606,0.600382,109.831228,109.8847,1.8772280000000168,18.77228000000017,False
2024-11-27,MTH,107.457,107.525,90.197129,90.255462,0.058333,5.0049,8.0,94.65,115.8749,34.9638,4.123,3.4634,22.12994,190.9814,19.098138,0.592139,109.295267,109.3536,1.8382670000000016,18.38267000000002,False
2024-11-28,MTH,107.457,107.525,90.197129,90.255462,0.058333,5.0049,8.0,94.65,115.8749,34.9638,4.123,3.4634,22.12994,190.9814,19.098138,0.592139,109.295267,109.3536,1.8382670000000016,18.38267000000002,False
2024-11-29,MTH,107.457,107.525,90.197129,90.255462,0.058333,5.0049,8.0,94.65,115.8749,34.9638,4.123,3.4634,22.12994,190.9814,19.098138,0.592139,109.295267,109.3536,1.8382670000000016,18.38267000000002,False
2024-12-02,MTH,108.01,108.098,90.420648,90.503287,0.082639,4.9465,8.0,95.54,115.8749,36.1837,4.068,3.4497,23.365825,201.6471,20.164707,0.601439,110.585355,110.667994,2.575354999999988,25.75354999999988,False
2024-12-03,MTH,107.649,107.741,90.424186,90.511686,0.0875,4.9385,8.0,95.275,115.8749,35.0115,4.0794,3.447,22.404125,193.3476,19.33476,0.594633,109.758946,109.846446,2.109946000000008,21.09946000000008,False
2024-12-04,MTH,105.757,105.854,90.519517,90.611878,0.092361,4.9015,8.0,92.15,115.8749,36.0212,4.0491,3.4442,21.183104,182.8102,18.281018,0.578865,108.800535,108.892896,3.0435349999999914,30.435349999999914,True
2024-12-05,MTH,105.415,105.517,90.527891,90.625113,0.097222,4.9083,8.0,89.91,115.8749,35.8635,4.0384,3.4415,19.71582,170.1475,17.014753,0.5627,107.542644,107.639866,2.127643999999989,21.27643999999989,False
2024-12-06,MTH,104.695,104.812,90.622455,90.724539,0.102083,4.8709,8.0,90.305,115.8749,36.2976,4.0083,3.4387,20.199665,174.3231,17.432311,0.567085,108.054766,108.156849,3.359766000000008,33.59766000000008,True
2024-12-09,MTH,106.596,106.717,90.623424,90.74009,0.116667,4.8758,8.0,93.195,115.8749,35.5221,4.0253,3.4305,21.372796,184.4472,18.444723,0.581923,109.068147,109.184814,2.4721469999999925,24.721469999999925,False
2024-12-10,MTH,105.9,106.026,90.604981,90.726508,0.121528,4.8813,8.0,91.28,115.8749,35.6654,4.0441,3.4278,20.338191,175.5186,17.551859,0.570286,108.15684,108.278368,2.256839999999982,22.568399999999823,False
2024-12-11,MTH,104.614,104.746,90.591249,90.717638,0.126389,4.873,8.0,90.0,115.8749,36.2282,4.0717,3.4251,19.972336,172.3613,17.236126,0.565177,107.827375,107.953764,3.213374999999999,32.13374999999999,True
2024-12-12,MTH,103.666,103.802,90.462158,90.593408,0.13125,4.9121,8.0,88.725,115.8749,36.1867,4.1092,3.4223,19.209328,165.7765,16.57765,0.556764,107.039808,107.171058,3.373807999999997,33.73807999999997,True
2024-12-13,MTH,101.77,101.921,90.297502,90.433613,0.136111,4.9513,8.0,84.215,115.8749,36.6069,4.1695,3.4196,17.168018,148.16,14.815999,0.530612,105.113501,105.249612,3.3435010000000034,33.435010000000034,True
